Premise 1,Premise 2,Syllogistic relation,Conclusion,index
"The camel, which we had expected to be found more commonly, can be seen more in the western regions and Pushkar, where they are a favourite mode of local transport. ",A new study that examines common medications to dementia highlights that the side effects differ between males and females.,no,No conclusion,1574
This is the first time scientists have created a specific visual perception with lab trickery which optogenetics is used.,Optogenetics is a technique that uses laser light to activate nerve cells in the brain called neurons.,yes,"This is the first time scientists have created a specific visual perception with lab trickery which a technique that uses laser light to activate nerve cells in the brain called neurons, is used.",1575
Improved social and health services adds up to the morality of people.,High level of morality in people exceeds the possibility of reproduction.,yes,Improved social and health services exceeds the possibility of reproduction.,1576
Cauliflower is a great source of molybdenum.,Flowers are a great source of inspiration.,no,No conclusion,1577
The government must make land available according priority to those whose need is greatest.,"For the increased social and economic benefits to be realized, key stakeholders need to make priority investments in two areas: high school completion and school-to-work transitions.",no,No conclusion,1578
Drinking heavily without eating can block your liver from releasing stored glucose into your bloodstream.,We devoted so much of our time to eating and drinking without even noticing.,no,No conclusion,1579
The Enclosure movement and the British Agricultural Revolution made food production more efficient and less labour-intensive,"a well-organized and less manual nutrition manufacture, forced the farmers who could no longer be self-sufficient in agriculture into the cottage industry",yes,The Enclosure movement and the British Agricultural Revolution forced the farmers who could no longer be self-sufficient in agriculture into the cottage industry,1580
Acupuncture is placing small sharp needles in different parts of the body.,Experts say Chinese people living almost five-thousand years ago treated tooth pain by acupuncture.,yes,Experts say Chinese people living almost five-thousand years ago treated tooth pain by placing small sharp needles in different parts of the body.,1581
Eating food that contain large amounts of fiber can help with digestion,Quality dark chocolate is rich in fiber,yes,Eating quality dark chocolate can help with digestion,1582
Bees live in colonies.,Bees live together in groups.,no,No conclusion,1583
"Targeted investment in transnational maritime routes and their connection with established land routes across Asia can have a multiplier effect on spreading tourism’s benefits for regions, destinations, local communities and the private sector alike",Asia has so many natural tourist attractive regions and destinations.,no,No conclusion,1584
Hideo Kojima created the Metal Gear Solid franchise.,The dawn of Metal Gear Solid Series earned Konami a prominent reputation.,yes,Hideo Kojima earned Konami a prominent reputation.,1585
