,index,Premise 1,Premise 2,Conclusion
666,888,steel tools aren't polished for a while,my army pocket knife hasn't been polished for a while,my army pocket knife hasn't been polished for a while
667,889, abnormal growth in cells is caused by changes or mutations in DNA.,Cancer is caused by abnormal growth in cells.,Cancer is caused by changes or mutations in DNA.
1642,890,Dams pump water into the reservoir.,water storage provides enough water for people and farmers during the summer.,Dams provide enough water for people and farmers during the summer.
186,891,Rheumatoid arthritis is a type of arthritis.,Pomegranate extract has anti-inflammatory effects.,Pomegranate extract may be beneficial against several forms of arthritis.
668,892,Growing international trade creates jobs and boosts economic growth,Exports can attract foreign companies.,Exports can create jobs and boosts economic growth
1144,893,"if the monarch’s power is subject to a constitution,he is elected by the people",the monarch is mainly a ceremonial figurehead symbol of national unity and state continuity,"if the monarch’s power is subject to a constitution,he is mainly a ceremonial figurehead symbol of national unity and state continuity"
1643,894,Micheal has a contagious disease.,Sara has a contagious disease.,Micheal has a contagious disease.
2107,895,Physical activity gives the chest's best performance.,Physical activity give the chest's best performance, workout give the chest's best performance
2108,896,learning about education changes the lives of millions of people around the world,The internet is a global network,Internet changes the lives of millions of people around the world
1145,897,innovation can transform markets,Digitalisation can transform businesses,Digitalisation can transform markets
1644,898,Successful restaurants strive to accomplish their goals,Employees leave a good impression on customers,Successful restaurants leave a good impression on customers
1645,899,When the urge gets even stronger the brain becomes more alert.,If you try not to “catch” someone’s yawn the brain becomes more alert.,If you try not to “catch” someone’s yawn the urge gets even stronger.
