Premise 1,Premise 2,Syllogistic relation,Conclusion,index
Imam Khomeini ordered the establishment of Basij.,Organizing paramilitary voluntary militia favored villagers with vital requirements such as road and electricity.,yes,Imam Khomeini favored villagers with vital requirements such as road and electricity.,2015
the accident clearly potrayed the need for guard rails,installing guard rails will establish the need for better safety,yes,the accident clearly portrayed the need for better safety,2016
airplanes offer passengers a limited view while on the move,Travellers who are fond of sightseeing while travelling avoid getting on vehicles that might restrict their sight,yes,Travellers who are fond of sightseeing while travelling avoid getting on planes,2021
"A central bank is an institution that manages the currency ,money supply, and interest rates of a state or formal monetary union",Central banks in most developed nations are usually independent from political interference,yes,"Institutions that manage  the currency ,money supply, and interest rates of a state or formal monetary union, are usually independent from political interference",2022
Children in large families -particularly the younger siblings-generally have fewer allergies than children in small families do.,Exposure to germs during infancy makes people less likely to develop allergies.,yes,Children in large families -particularly the younger siblings- are exposed to more germs during infancy than children in small families. ,2023
 taking onion skin extract cause an appropriate body weight by a small amount in people who are overweight or obese. ,a fitting weight in fat people contributes them to feel more positive.,yes, taking onion skin extract  in obese people contributes them to feel more confident,2025
Felidae species are solitary predators ambushing or stalking their prey.,"The leopard is one of the five extant species in the genus Panthera, a member of the Felidae.",yes,leopards are solitary predators ambushing or stalking their prey.,2031
Economic reliance forces nations to emphasize mutually beneficial activities to ensure joint preservation and progress.  ,  Globalization has generated interdependence of economic. ,yes,globalization and have forced nations to emphasize mutually beneficial activities to ensure collective preservation and progress. ,2032
Being enough amount of vitamin E in the body can improve the action of eyes.,Nuts and seeds are containing vitamin E.,yes,nuts and seeds will improve the action of eyes.,2033
a division of work allows each team member to specialise in their own fields,particularised work force is of enormous importance in large companies,yes,A division of work is of enormous importance in large companies,2037
